Scenario,Region,Commodity,Period,PV
ClimHi_LTDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,HR,Fixed O&M costs,-,-0.035431195
ClimHi_LTDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,HR,Capital costs ,-,-0.082336742
ClimHi_LTDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,HR,Net ,-,-0.798283627
ClimLo_ConvDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,HR,Variable costs ,-,0.011729555
ClimLo_ConvDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,HR,Fixed O&M costs,-,-0.009511155
ClimLo_ConvDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,HR,Capital costs ,-,-0.028010264
ClimLo_ConvDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,HR,Net ,-,-0.025791864
ClimLo_LTDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,HR,Variable costs ,-,-0.670326464
ClimLo_LTDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,HR,Fixed O&M costs,-,-0.017297521
ClimLo_LTDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,HR,Capital costs ,-,0.073714015
ClimLo_LTDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,HR,Net ,-,-0.613909969
ClimHi_ConvDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,IT,Variable costs ,-,-0.091541623
ClimHi_ConvDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,IT,Fixed O&M costs,-,-0.102886307
ClimHi_ConvDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,IT,Capital costs ,-,0.068993188
ClimHi_ConvDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,IT,Net ,-,-0.125434743
ClimHi_LTDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,IT,Variable costs ,-,-0.680562762
ClimHi_LTDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,IT,Fixed O&M costs,-,-0.133334337
ClimHi_LTDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,IT,Capital costs ,-,-0.140207666
ClimHi_LTDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,IT,Net ,-,-0.954104765
ClimLo_ConvDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,IT,Variable costs ,-,-0.352344412
ClimLo_ConvDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,IT,Fixed O&M costs,-,-0.002536109
ClimLo_ConvDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,IT,Capital costs ,-,0.200991867
ClimLo_ConvDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,IT,Net ,-,-0.153888654
ClimLo_LTDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,IT,Variable costs ,-,-0.865783803
ClimLo_LTDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,IT,Fixed O&M costs,-,-0.014216056
ClimLo_LTDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,IT,Capital costs ,-,0.174685207
ClimLo_LTDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,IT,Net ,-,-0.705314652
ClimHi_ConvDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,NL,Variable costs ,-,-0.231944962
ClimHi_ConvDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,NL,Fixed O&M costs,-,-0.094647365
ClimHi_ConvDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,NL,Capital costs ,-,0.083255409
ClimHi_ConvDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,NL,Net ,-,-0.243336917
ClimHi_LTDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,NL,Variable costs ,-,0.005686903
ClimHi_LTDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,NL,Fixed O&M costs,-,-0.05617221
ClimHi_LTDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,NL,Capital costs ,-,-0.952983749
ClimHi_LTDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,NL,Net ,-,-1.003469056
ClimLo_ConvDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,NL,Variable costs ,-,-0.142951263
ClimLo_ConvDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,NL,Fixed O&M costs,-,-0.001386009
ClimLo_ConvDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,NL,Capital costs ,-,0.067848694
ClimLo_ConvDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,NL,Net ,-,-0.076488578
ClimLo_LTDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,NL,Variable costs ,-,-0.650869652
ClimLo_LTDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,NL,Fixed O&M costs,-,-0.02605027
ClimLo_LTDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,NL,Capital costs ,-,0.125498048
ClimLo_LTDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,NL,Net ,-,-0.551421874
ClimHi_ConvDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,SE,Variable costs ,-,0.525923426
ClimHi_ConvDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,SE,Fixed O&M costs,-,-0.358366943
ClimHi_ConvDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,SE,Capital costs ,-,-0.267763317
ClimHi_ConvDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,SE,Net ,-,-0.100206834
ClimHi_LTDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,SE,Variable costs ,-,-1.94613831
ClimHi_LTDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,SE,Fixed O&M costs,-,-0.391854066
ClimHi_LTDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,SE,Capital costs ,-,0.534240515
ClimHi_LTDH_LTHS_compared_to_ClimHi_ConvDH_NoLTHS,SE,Net ,-,-1.803751861
ClimLo_ConvDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,SE,Variable costs ,-,-0.660686293
ClimLo_ConvDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,SE,Fixed O&M costs,-,-0.410439289
ClimLo_ConvDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,SE,Capital costs ,-,-0.109882076
ClimLo_ConvDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,SE,Net ,-,-1.181007658
ClimLo_LTDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,SE,Variable costs ,-,-1.90624902
ClimLo_LTDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,SE,Fixed O&M costs,-,-0.420337609
ClimLo_LTDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,SE,Capital costs ,-,0.468657311
ClimLo_LTDH_LTHS_compared_to_ClimLo_ConvDH_NoLTHS,SE,Net ,-,-1.857929318
