Scenario,Region,Commodity,Period,PV,Option 
Future DH compared to Conventional DH,IT,Capital costs ,-,0.174685207,WEO-NP
Future DH compared to Conventional DH,IT,Net ,-,-0.705314652,WEO-NP
Transition DH compared to Conventional DH,NL,Variable costs ,-,-0.231944962,WEO-SD
Transition DH compared to Conventional DH,NL,Fixed O&M costs,-,-0.094647365,WEO-SD
Transition DH compared to Conventional DH,NL,Capital costs ,-,0.083255409,WEO-SD
Transition DH compared to Conventional DH,NL,Net ,-,-0.243336917,WEO-SD
Future DH compared to Conventional DH,NL,Variable costs ,-,0.005686903,WEO-SD
Future DH compared to Conventional DH,NL,Fixed O&M costs,-,-0.05617221,WEO-SD
Future DH compared to Conventional DH,NL,Capital costs ,-,-0.952983749,WEO-SD
Future DH compared to Conventional DH,NL,Net ,-,-1.003469056,WEO-SD
Transition DH compared to Conventional DH,NL,Variable costs ,-,-0.142951263,WEO-NP
Transition DH compared to Conventional DH,NL,Fixed O&M costs,-,-0.001386009,WEO-NP
Transition DH compared to Conventional DH,NL,Capital costs ,-,0.067848694,WEO-NP
Transition DH compared to Conventional DH,NL,Net ,-,-0.076488578,WEO-NP
Future DH compared to Conventional DH,NL,Variable costs ,-,-0.650869652,WEO-NP
Future DH compared to Conventional DH,NL,Fixed O&M costs,-,-0.02605027,WEO-NP
Future DH compared to Conventional DH,NL,Capital costs ,-,0.125498048,WEO-NP
Future DH compared to Conventional DH,NL,Net ,-,-0.551421874,WEO-NP
Transition DH compared to Conventional DH,SE,Variable costs ,-,0.525923426,WEO-SD
Transition DH compared to Conventional DH,SE,Fixed O&M costs,-,-0.358366943,WEO-SD
Transition DH compared to Conventional DH,SE,Capital costs ,-,-0.267763317,WEO-SD
Transition DH compared to Conventional DH,SE,Net ,-,-0.100206834,WEO-SD
Future DH compared to Conventional DH,SE,Variable costs ,-,-1.94613831,WEO-SD
Future DH compared to Conventional DH,SE,Fixed O&M costs,-,-0.391854066,WEO-SD
Future DH compared to Conventional DH,SE,Capital costs ,-,0.534240515,WEO-SD
Future DH compared to Conventional DH,SE,Net ,-,-1.803751861,WEO-SD
Transition DH compared to Conventional DH,SE,Variable costs ,-,-0.660686293,WEO-NP
Transition DH compared to Conventional DH,SE,Fixed O&M costs,-,-0.410439289,WEO-NP
Transition DH compared to Conventional DH,SE,Capital costs ,-,-0.109882076,WEO-NP
Transition DH compared to Conventional DH,SE,Net ,-,-1.181007658,WEO-NP
Future DH compared to Conventional DH,SE,Variable costs ,-,-1.90624902,WEO-NP
Future DH compared to Conventional DH,SE,Fixed O&M costs,-,-0.420337609,WEO-NP
Future DH compared to Conventional DH,SE,Capital costs ,-,0.468657311,WEO-NP
Future DH compared to Conventional DH,SE,Net ,-,-1.857929318,WEO-NP
